id,permutation,image1_file,image2_file,model_1,model_2,model_1_count,model_2_count,tie_count,survey_pref_model1,eval_score_model1,eval_score_model2,eval_pref_model1,pickscore_score_model1,pickscore_score_model2,pickscore_pref_model1,vqa_score_model1,vqa_score_model2,vqa_pref_model1,dsg_score_model1,dsg_score_model2,dsg_pref_model1,tit_score_score_model1,tit_score_score_model2,tit_score_pref_model1,imagereward_score_model1,imagereward_score_model2,imagereward_pref_model1
0167,V1-V2-V3,0167-1.png,0167-2.png,sdxl,sd15,4,0,0,1.0,0.5888888888888889,0.3111111111111111,0.654320987654321,0.2285872846841812,0.20764096081256866,0.5240084452208731,0.9654521346092224,0.5544121265411377,0.635222604601866,0.3,0.3,0.5,,,,0.03292720764875412,-1.1879887580871582,0.7722247022116235
0507,V1-S2-V3,0507-5.png,0507-1.png,qwen-image,z-image,0,0,1,0.5,0.7083333333333333,0.7083333333333333,0.5,0.23081383109092712,0.21620090305805206,0.5163450183143236,0.9348368048667908,0.9417088031768799,0.49816897647447717,0.2,0.2,0.5,,,,0.625508189201355,-0.11045325547456741,0.6761121048722025
0507,V1-V2-V3,0507-5.png,0507-1.png,qwen-image,z-image,0,0,1,0.5,0.8055555555555556,0.8055555555555556,0.5,0.23081383109092712,0.21620090305805206,0.5163450183143236,0.9348368048667908,0.9417088031768799,0.49816897647447717,0.2,0.2,0.5,,,,0.625508189201355,-0.11045325547456741,0.6761121048722025
2584,V1-S2-V3,2584-4.png,2584-5.png,flux,qwen-image,0,2,2,0.25,0.4666666666666667,0.5666666666666667,0.4516129032258065,0.2331233024597168,0.2226889729499817,0.5114458627736127,0.37513476610183716,0.6494418978691101,0.36613635591496785,0.15,0.2,0.4285714285714286,,,,0.2648760974407196,0.49676060676574707,0.34777223311038885
2584,V1-V2-V3,2584-4.png,2584-5.png,flux,qwen-image,0,2,2,0.25,0.4592592592592593,0.7111111111111111,0.3924050632911392,0.2331233024597168,0.2226889729499817,0.5114458627736127,0.37513476610183716,0.6494418978691101,0.36613635591496785,0.15,0.2,0.4285714285714286,,,,0.2648760974407196,0.49676060676574707,0.34777223311038885
1842,V1-S2-V3,1842-1.png,1842-3.png,z-image,sd15,2,0,0,1.0,1.0,0.8333333333333333,0.5454545454545455,0.22450800240039825,0.190842866897583,0.5405261406575548,0.9869022369384766,0.7387926578521729,0.5718868612972291,0.42857142857142855,0.2857142857142857,0.6000000000000001,,,,1.4221287965774536,-0.36981287598609924,0.8571651663035899
1842,V1-V2-V3,1842-1.png,1842-3.png,z-image,sd15,2,0,0,1.0,1.0,0.8333333333333333,0.5454545454545455,0.22450800240039825,0.190842866897583,0.5405261406575548,0.9869022369384766,0.7387926578521729,0.5718868612972291,0.42857142857142855,0.2857142857142857,0.6000000000000001,,,,1.4221287965774536,-0.36981287598609924,0.8571651663035899
0124,V1-S2-V3,0124-3.png,0124-5.png,z-image,flux,0,1,0,0.0,1.0,0.8333333333333333,0.5454545454545455,0.22202323377132416,0.2268659472465515,0.49460589196620164,0.8876819610595703,0.9185471534729004,0.491455903305678,0.5,0.5,0.5,,,,1.5578560829162598,1.8375636339187622,0.45881104924736277
0124,V1-V2-V3,0124-3.png,0124-5.png,z-image,flux,0,1,0,0.0,0.888888888888889,0.888888888888889,0.5,0.22202323377132416,0.2268659472465515,0.49460589196620164,0.8876819610595703,0.9185471534729004,0.491455903305678,0.5,0.5,0.5,,,,1.5578560829162598,1.8375636339187622,0.45881104924736277
2683,V1-S2-V3,2683-2.png,2683-5.png,flux,sdxl,1,0,0,1.0,0.9166666666666667,0.25,0.7857142857142857,0.22539597749710083,0.23789338767528534,0.4865123062197485,0.9481682181358337,0.8756287693977356,0.5198869307367915,0.38461538461538464,0.38461538461538464,0.5,,,,0.23587684333324432,-1.418919324874878,0.8395382131294196
2683,V1-V2-V3,2683-2.png,2683-5.png,flux,sdxl,1,0,0,1.0,0.9166666666666667,0.25,0.7857142857142857,0.22539597749710083,0.23789338767528534,0.4865123062197485,0.9481682181358337,0.8756287693977356,0.5198869307367915,0.38461538461538464,0.38461538461538464,0.5,,,,0.23587684333324432,-1.418919324874878,0.8395382131294196
0545,V1-S2-V3,0545-5.png,0545-3.png,qwen-image,flux,1,1,2,0.5,0.7083333333333333,0.7083333333333333,0.5,0.20692706108093262,0.21197828650474548,0.4939709227240412,0.9384951591491699,0.86881422996521,0.5192775320052161,0.25,0.25,0.5,,,,0.03239186480641365,0.02241373248398304,0.5910320552621642
0545,V1-V2-V3,0545-5.png,0545-3.png,qwen-image,flux,1,1,2,0.5,0.888888888888889,0.8055555555555556,0.5245901639344263,0.20692706108093262,0.21197828650474548,0.4939709227240412,0.9384951591491699,0.86881422996521,0.5192775320052161,0.25,0.25,0.5,,,,0.03239186480641365,0.02241373248398304,0.5910320552621642
1528,V1-S2-V3,1528-3.png,1528-5.png,sd15,sdxl,0,1,0,0.0,0.1,0.3666666666666667,0.2142857142857143,0.1866743266582489,0.20246094465255737,0.479715770892303,0.2179611474275589,0.6148794293403625,0.2617081269904261,0.16666666666666666,0.16666666666666666,0.5,,,,-1.97670316696167,-0.5559050440788269,0.19453649359392525
1528,V1-V2-V3,1528-3.png,1528-5.png,sd15,sdxl,0,1,0,0.0,0.1777777777777778,0.35555555555555557,0.3333333333333333,0.1866743266582489,0.20246094465255737,0.479715770892303,0.2179611474275589,0.6148794293403625,0.2617081269904261,0.16666666666666666,0.16666666666666666,0.5,,,,-1.97670316696167,-0.5559050440788269,0.19453649359392525
0817,V1-S2-V3,0817-4.png,0817-1.png,flux,qwen-image,1,0,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.22714868187904358,0.22091126441955566,0.5069604720428761,0.903864860534668,0.9140734672546387,0.49719225713988197,0.4444444444444444,0.4444444444444444,0.5,,,,1.4233412742614746,1.4993536472320557,0.48699618417037216
